run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments,min_robot_gap_m,overlap_events,dup_target_ticks,dup_target_events
ca_ssi_s1,ca_ssi,4,117.6,105.344,10,5.102,15.37,12.968,22.281,0.962,129.06,0,0,0.634,0,0,7,-0.007,1,77,2
ca_ssi_s2,ca_ssi,4,117.2,105.439,20,10.238,19.335,17.742,32.338,0.976,229.65,0,0,0.657,0,0,1,0.087,0,0,0
ca_nocong_s1,ca_nocong,4,116.5,111.996,20,10.304,18.757,13.474,33.206,0.916,227.69,0,0,0.849,0,0,0,0.336,0,0,0
ca_nocong_s2,ca_nocong,4,119.3,108.146,18,9.056,17.43,13.799,27.642,0.816,189.61,0,0,0.594,0,0,4,0.041,0,0,0
ca_noener_s1,ca_noener,4,119.2,113.97,12,6.038,15.487,13.3,19.934,0.904,150.14,0,0,0.65,0,0,7,0.056,0,0,0
ca_noener_s2,ca_noener,4,118.3,103.52,18,9.133,18.056,13.245,30.859,0.926,199.24,0,0,0.658,0,0,2,0.059,0,0,0
ca_nobal_s1,ca_nobal,4,118.6,113.626,17,8.598,17.928,13.614,32.485,0.958,172.13,0,0,0.574,0,0,4,0.028,0,0,0
ca_nobal_s2,ca_nobal,4,117.8,109.995,22,11.206,18.378,16.428,25.934,0.937,237.92,0,0,0.783,0,0,0,0.183,0,0,0
ca_noage_s1,ca_noage,4,119.3,107.19,20,10.063,19.618,16.98,32.483,0.908,231.41,0,0,0.626,0,0,0,0.106,0,0,0
ca_noage_s2,ca_noage,4,118.2,94.3,15,7.613,19.768,13.004,34.055,0.915,180.88,0,0,0.61,0,0,1,0.055,0,0,0
