task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.560598611831665,2.635,25.932,23.371,
5,empty,storage_empty_slot_0,carding_waiting_0,0,25.960126638412476,26.032,39.132,13.172,
7,empty,storage_empty_slot_0,carding_waiting_0,0,39.16298484802246,39.232,52.232,13.069,
8,empty,storage_empty_slot_1,carding_waiting_1,0,50.562755823135376,52.432,67.232,16.669,
9,empty,storage_empty_slot_2,carding_waiting_2,0,66.56062436103821,67.432,81.932,15.371,
15,empty,storage_empty_slot_2,carding_waiting_3,0,91.06110572814941,91.232,107.332,16.271,
