run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments,min_robot_gap_m,overlap_events,dup_target_ticks,dup_target_events
ca_ssi_s1,ca_ssi,2,118.8,114.599,12,6.063,17.522,16.432,23.632,0.968,120.94,0,0,1.21,0,0,5,0.5,0,0,0
ca_ssi_s2,ca_ssi,2,118.4,111.199,13,6.588,16.192,15.203,23.204,0.975,115.07,0,0,1.16,0,0,5,0.47,0,0,0
ca_ssi_s3,ca_ssi,2,118.8,90.896,12,6.063,14.845,14.379,17.226,0.984,118.99,0,0,1.344,0,0,5,0.639,0,0,0
hungarian_s1,hungarian,2,119.4,111.28,13,6.534,16.153,14.903,24.004,0.982,117.47,0,0,1.211,0,0,5,0.514,0,0,0
hungarian_s2,hungarian,2,119.4,110.9,13,6.533,16.113,14.91,23.41,0.97,115.42,0,0,1.263,0,0,5,0.562,0,0,0
hungarian_s3,hungarian,2,119.4,114.499,12,6.03,17.705,17.022,23.575,0.971,121.67,0,0,1.259,0,0,5,0.554,0,0,0
nearest_s1,nearest,2,119.1,114.611,13,6.551,17.252,15.962,25.311,0.968,116.83,0,0,0.812,0,0,4,0.135,0,0,0
nearest_s2,nearest,2,118.9,113.8,12,6.054,19.138,21.444,23.346,0.977,128.87,0,0,1.206,0,0,4,0.5,0,0,0
nearest_s3,nearest,2,119.4,116.826,13,6.531,17.763,16.323,24.767,0.977,125.62,0,0,1.342,0,0,4,0.645,0,0,0
random_s1,random,2,119.4,57.299,6,3.014,18.556,19.358,23.303,0.977,113.26,0,0,0.702,0,0,6,0.002,0,0,0
random_s2,random,2,119.4,117.1,10,5.025,19.729,17.983,25.404,0.974,135.23,0,0,1.288,0,0,6,0.583,0,0,0
random_s3,random,2,119.1,88.692,7,3.527,19.276,19.326,23.492,0.973,118.33,0,0,0.724,0,0,7,0.093,0,0,0
ssi_s1,ssi,2,119.4,115.759,13,6.532,17.945,16.63,23.634,0.98,124.87,0,0,1.35,0,0,4,0.7,0,0,0
ssi_s2,ssi,2,119.3,115.999,13,6.539,17.868,16.247,23.415,0.972,123.71,0,0,1.211,0,0,4,0.514,0,0,0
ssi_s3,ssi,2,119.4,114.199,12,6.029,19.1,20.865,23.424,0.973,128.92,0,0,1.206,0,0,4,0.5,0,0,0
