task_id,material,source,dest,robot_id,created_s,assigned_s,delivered_s,latency_s,travel_cost
1,empty,storage_empty_slot_0,carding_waiting_0,0,2.08626651763916,2.166,25.566,23.48,
2,empty,storage_empty_slot_1,carding_waiting_1,1,2.086616039276123,2.152,27.653,25.566,
3,empty,storage_empty_slot_2,carding_waiting_2,2,2.086867094039917,2.108,32.208,30.121,
4,empty,storage_empty_slot_3,carding_waiting_3,3,4.086109161376953,4.114,36.514,32.428,
5,empty,storage_empty_slot_0,carding_waiting_0,0,25.5866436958313,25.767,38.566,12.98,
6,empty,storage_empty_slot_1,carding_waiting_1,1,27.686094999313354,27.853,40.452,12.765,
8,empty,storage_empty_slot_2,carding_waiting_2,2,32.28639888763428,32.409,45.207,12.921,
10,empty,storage_empty_slot_3,carding_waiting_3,3,36.58679676055908,36.617,49.115,12.528,
11,empty,storage_empty_slot_0,carding_waiting_0,0,38.58619809150696,38.767,51.666,13.08,
12,empty,storage_empty_slot_1,carding_waiting_1,1,40.4859139919281,40.652,53.452,12.966,
13,empty,storage_empty_slot_2,carding_waiting_2,2,45.28672480583191,45.409,57.908,12.621,
14,empty,storage_empty_slot_3,carding_waiting_3,3,49.18661952018738,49.215,61.914,12.728,
7,green,carding_finished_0,drawing_waiting_0,0,50.17118763923645,51.768,70.266,20.095,
9,green,carding_finished_1,drawing_waiting_1,1,52.087456464767456,53.653,76.352,24.264,
16,green,carding_finished_0,drawing_waiting_0,0,70.28769707679749,70.367,83.766,13.478,
15,empty,storage_empty_slot_0,carding_waiting_0,2,70.28669476509094,70.31,89.008,18.721,
17,empty,storage_empty_slot_1,carding_waiting_1,3,76.38646721839905,76.415,95.014,18.628,
18,green,carding_finished_1,drawing_waiting_1,1,76.3871374130249,76.453,95.852,19.465,
20,green,carding_finished_0,drawing_waiting_0,0,83.78637790679932,83.966,97.366,13.58,
22,empty,storage_empty_slot_0,carding_waiting_0,2,89.08679986000061,89.207,102.007,12.92,
25,empty,storage_empty_slot_0,carding_waiting_0,2,102.08657884597778,102.208,114.908,12.821,
21,yellow,drawing_finished_1,roving_waiting_1,1,94.08771085739136,96.053,116.054,21.966,
