run_label,policy,num_robots,wall_s,makespan_s,completed,throughput_per_min,latency_mean_s,latency_p50_s,latency_p95_s,utilisation_mean,distance_total_m,traffic_rejected,traffic_expired,min_robot_distance_m,near_miss_events,charging_events,reassignments,min_robot_gap_m,overlap_events,dup_target_ticks,dup_target_events
ca_ssi_s1,ca_ssi,4,119.3,116.881,18,9.052,18.622,15.875,30.4,0.967,208.76,0,0,0.731,0,0,4,0.064,0,0,0
ca_ssi_s2,ca_ssi,4,118.9,116.33,22,11.1,18.492,13.53,32.076,0.933,234.97,0,0,1.16,0,0,0,0.465,0,0,0
ca_ssi_s3,ca_ssi,4,118.9,110.503,17,8.576,19.032,12.981,32.379,0.901,195.38,0,0,0.493,0,0,0,-0.14,1,0,0
hungarian_s1,hungarian,4,119.4,116.3,22,11.055,19.175,17.158,31.542,0.947,243.52,0,0,1.206,0,0,0,0.5,0,0,0
hungarian_s2,hungarian,4,119.2,111.61,19,9.561,17.806,15.807,30.026,0.984,214.44,0,0,0.698,0,0,2,0.063,0,0,0
hungarian_s3,hungarian,4,119.1,105.299,22,11.088,18.043,14.571,30.505,0.944,243.4,0,0,1.051,0,0,0,0.5,0,0,0
nearest_s1,nearest,4,119.4,88.102,18,9.044,17.674,12.915,34.053,0.985,202.42,0,0,0.676,0,0,4,0.061,0,0,0
nearest_s2,nearest,4,119.3,88.615,16,8.047,18.295,13.174,30.989,0.923,215.28,0,0,0.628,0,0,0,0.056,0,0,0
nearest_s3,nearest,4,119.4,117.02,21,10.553,18.393,16.349,29.547,0.911,229.15,0,0,0.689,0,0,0,0.056,0,0,0
random_s1,random,4,119.3,113.129,11,5.532,23.396,23.45,36.435,0.979,155.55,0,0,0.64,0,0,5,0.056,0,0,0
random_s2,random,4,119.2,85.2,14,7.045,16.641,13.474,26.9,0.988,231.59,0,0,0.648,0,0,1,-0.007,1,0,0
random_s3,random,4,119.2,108.3,19,9.56,22.485,18.213,35.392,0.971,253.64,0,0,0.759,0,0,1,0.084,0,0,0
ssi_s1,ssi,4,119.3,113.946,22,11.063,17.733,13.529,25.566,0.912,219.43,0,0,0.705,0,0,0,0.081,0,0,0
ssi_s2,ssi,4,119.4,117.0,18,9.048,17.951,13.567,34.867,0.972,185.51,0,0,0.575,0,0,2,-0.047,1,0,0
ssi_s3,ssi,4,119.4,113.909,22,11.056,18.33,13.974,31.219,0.906,230.18,0,0,1.211,0,0,0,0.514,0,0,0
